Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.8624,14,White,No,.,.
0.8157,14,Hispanic,No,.,.
0.8624,14,White,No,.,.
0.8157,14,Hispanic,No,.,.
0.4466,14,Hispanic,No,.,.
0.4466,14,Hispanic,No,.,.
1.0917,14,White,No,.,.
0.4466,14,Hispanic,No,.,.
1.9623,14,White,No,.,.
1.9623,14,White,No,.,.
1.9623,14,White,No,.,.
0.4466,14,Hispanic,No,.,.
1.9623,14,White,No,.,.
0.4466,14,Hispanic,No,.,.
0.4721,14,Other,No,.,.
0.559,14,Other,No,.,.
0.4721,14,White,No,.,.
0.4466,14,Hispanic,No,.,.
0.4466,14,Hispanic,No,.,.
0.4466,14,Hispanic,No,.,.
0.4721,14,White,No,.,.
1.7784,14,White,No,.,.
1.6426,14,Black,.,.,.
1.8244,14,.,No,.,.
1.7256,14,Hispanic,Yes,13,1
1.8244,14,White,No,.,.
1.8244,14,White,.,.,.
1.835,14,White,No,.,.
1.835,14,White,No,.,.
1.835,14,White,No,.,.
1.7784,14,White,No,.,.
1.9647,14,White,No,.,.
2.944,14,White,No,.,.
0.169,14,Black,Yes,14,1
1.9928,14,White,No,.,.
1.1111,14,Hispanic,No,.,.
2.0369,14,White,No,.,.
2.1507,14,White,No,.,.
2.9542,14,White,No,.,.
1.251,14,Black,No,.,.
1.4199,14,White,No,.,.
0.6142,14,Black,No,.,.
2.0751,14,Black,Yes,14,1
0.3203,14,White,No,.,.
0.2572,14,Other,No,.,.
1.6821,14,Hispanic,No,.,.
1.0448,14,Other,No,.,.
1.8763,14,White,No,.,.
0.8553,14,Hispanic,Yes,11,3
0.1403,14,Black,No,.,.
1.0492,14,White,No,.,.
0.2485,14,Other,No,.,.
2.0765,14,White,No,.,.
0.2391,14,.,No,.,.
1.3545,14,White,No,.,.
0.3813,14,Hispanic,No,.,.
0.169,14,Black,Yes,13,2
1.5033,14,White,No,.,.
3.8517,14,Other,Yes,13,.
0.3813,14,Hispanic,Yes,14,1
0.2475,14,White,Yes,12,3
1.0448,14,White,No,.,.
0.7757,14,White,No,.,.
0.9043,14,White,No,.,.
0.2204,14,White,No,.,.
1.6808,14,White,No,.,.
0.3813,14,Hispanic,Yes,13,5
0.6743,14,Black,Yes,14,3
0.9327,14,White,No,.,.
1.1655,14,White,No,.,.
2.0369,14,White,Yes,13,2
1.2811,14,Hispanic,No,.,.
1.5206,14,White,No,.,.
1.085,14,Black,No,.,.
0.5883,14,Black,Yes,12,1
0.0971,14,Hispanic,No,.,.
0.1871,14,Hispanic,No,.,.
0.2475,14,Other,No,.,.
0.2622,14,Hispanic,No,.,.
1.3412,14,White,No,.,.
2.1507,14,White,No,.,.
0.2631,14,Other,No,.,.
2.944,14,White,No,.,.
0.3813,14,Hispanic,No,.,.
0.1403,14,Black,No,.,.
4.0758,14,White,No,.,.
2.7942,14,Hispanic,No,.,.
0.259,14,Hispanic,No,.,.
1.9704,14,White,No,.,.
0.9494,14,Other,No,.,.
2.2602,14,White,Yes,14,1
1.6808,14,White,No,.,.
0.9868,14,White,No,.,.
0.9868,14,White,No,.,.
0.9868,14,White,No,.,.
0.2485,14,Other,No,.,.
0.9498,14,White,No,.,.
1.1655,14,White,No,.,.
1.6897,14,White,No,.,.
1.3545,14,White,No,.,.
0.3716,14,Hispanic,Yes,14,2
0.2845,14,Other,No,.,.
1.1607,14,Black,No,.,.
0.183,14,White,No,.,.
0.4757,14,Black,Yes,12,3
1.9928,14,White,No,.,.
1.085,14,Black,Yes,13,3
1.1747,14,White,No,.,.
1.5033,14,White,No,.,.
1.3875,14,Black,Yes,14,1
2.125,14,Hispanic,No,.,.
0.6936,14,White,No,.,.
0.3203,14,White,No,.,.
0.1733,14,Hispanic,.,.,.
0.3203,14,White,No,.,.
0.386,14,Other,No,.,.
0.1978,14,White,No,.,.
0.1871,14,Hispanic,No,.,.
0.1871,14,Hispanic,No,.,.
3.056,14,White,No,.,.
0.5128,14,Other,No,.,.
